Gene	PLC.0ug	PLC.3ug
ENSG00000005436__GCFC2_-	54.12	64.39
ENSG00000005448__WDR54_+	14.06	10.7
ENSG00000005469__CROT_+	8.44	8.61
ENSG00000005483__MLL5_+	17.97	14.92
ENSG00000005486__RHBDD2_+	25.08	25.58
ENSG00000005513__SOX8_+	2.7	1.89
ENSG00000005700__IBTK_-	50.58	54.02
ENSG00000005801__ZNF195_-	11.69	12.67
ENSG00000005810__MYCBP2_-	14.77	11.62
ENSG00000005812__FBXL3_-	16.22	16.09
ENSG00000005882__PDK2_+	40.27	38.57
ENSG00000005884__ITGA3_+	6.2	4.79
ENSG00000005889__ZFX_+	32.57	25.54
ENSG00000005893__LAMP2_-	201.7	159.59
ENSG00000005955__GGNBP2_+	44.18	36.44
ENSG00000006007__GDE1_-	42.26	46.45
ENSG00000006015__C19orf60_+	70.22	86.59
ENSG00000006025__OSBPL7_-	0	0
ENSG00000006042__TMEM98_+	21.84	24.74
ENSG00000006062__MAP3K14_-	15.27	11.74
ENSG00000006114__SYNRG_-	411.93	350.12
ENSG00000006118__TMEM132A_+	25.75	22.72
ENSG00000006125__AP2B1_+	151.25	156.74
ENSG00000006194__ZNF263_+	16.31	14.68
ENSG00000006210__CX3CL1_+	1	1.41
ENSG00000006282__SPATA20_+	10.57	9.29
ENSG00000006327__TNFRSF12A_+	364.6	379.24
ENSG00000006432__MAP3K9_-	4.99	5.47
ENSG00000006451__RALA_+	31.86	34.71
ENSG00000006453__BAIAP2L1_-	97.84	109.84
ENSG00000006459__JHDM1D_-	9.94	8.77
ENSG00000006468__ETV1_-	34.11	34.07
ENSG00000006530__AGK_+	3.58	6.15
ENSG00000006534__ALDH3B1_+	3.54	3.54
ENSG00000006576__PHTF2_+	52.33	38.77
ENSG00000006607__FARP2_+	31.53	29.48
ENSG00000006611__USH1C_-	5.87	5.79
ENSG00000006625__GGCT_-	46.92	50.07
ENSG00000006634__DBF4_+	24.29	26.1
ENSG00000006638__TBXA2R_-	8.36	6.31
ENSG00000006652__IFRD1_+	29.95	40.5
ENSG00000006695__COX10_+	24.21	24.98
ENSG00000006704__GTF2IRD1_+	3.37	3.1
ENSG00000006712__PAF1_-	56.74	59.89
ENSG00000006715__VPS41_-	41.97	37.2
ENSG00000006744__ELAC2_-	54.78	48.35
ENSG00000006756__ARSD_-	5.45	4.18
ENSG00000006831__ADIPOR2_+	63.48	52.97
ENSG00000006837__CDKL3_-	11.06	8.69
ENSG00000007001__UPP2_+	1.75	2.05
ENSG00000007047__MARK4_+	14.97	18.5
ENSG00000007080__CCDC124_+	203.08	226.52
ENSG00000007168__PAFAH1B1_+	88.93	108.84
ENSG00000007202__KIAA0100_-	25.37	31.41
ENSG00000007237__GAS7_-	0.04	0
ENSG00000007255__TRAPPC6A_-	25.71	29.08
ENSG00000007341__ST7L_-	9.78	11.62
ENSG00000007372__PAX6_-	0.04	0
ENSG00000007376__RPUSD1_-	14.93	13.31
ENSG00000007384__RHBDF1_-	35.4	24.53
ENSG00000007392__LUC7L_-	22.63	20.51
ENSG00000007516__BAIAP3_+	2.25	1.77
ENSG00000007520__TSR3_-	54.33	60.09
ENSG00000007541__PIGQ_+	13.69	9.97
ENSG00000007545__CRAMP1L_+	4.83	3.1
ENSG00000007866__TEAD3_-	9.44	10.78
ENSG00000007923__DNAJC11_-	97.84	97.62
ENSG00000007944__MYLIP_+	6.91	6.23
ENSG00000007968__E2F2_-	7.24	8.04
ENSG00000008018__PSMB1_-	449.87	510.64
ENSG00000008083__JARID2_+	27.66	23.73
ENSG00000008086__CDKL5_+	9.03	9.13
ENSG00000008128__CDK11A_-	34.07	22.36
ENSG00000008130__NADK_-	58.49	54.82
ENSG00000008256__CYTH3_-	19.38	17.9
ENSG00000008277__ADAM22_+	3.29	3.02
